appid,reviewId,charLen,isPositive,tokens_in_review,zero_hit,pairIndex,type,Flow_count,Utility_count,Nostalgia_count,Flow_prop,Utility_prop,Nostalgia_prop,Flow_per_100,Utility_per_100,Nostalgia_per_100,Flow_share,Utility_share,Nostalgia_share,None_share
415880,40357473,27,1,5,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40335192,4,1,1,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40132854,4,0,1,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40115948,59,0,10,False,1,top,0,1,0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.1,0.0,0.9
415880,40040562,284,0,49,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40067062,163,1,28,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40044001,67,0,3,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40036375,2,1,1,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40034507,22,1,4,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40030507,117,1,24,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40030384,12,1,2,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40025774,6,1,1,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,39938961,3187,0,549,False,1,top,1,0,0,1.0,0.0,0.0,0.18214936247723132,0.0,0.0,0.0018214936247723133,0.0,0.0,0.9981785063752276
415880,40022839,5,1,1,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40020266,156,1,29,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40020231,317,1,52,False,1,top,1,0,0,1.0,0.0,0.0,1.9230769230769231,0.0,0.0,0.019230769230769232,0.0,0.0,0.9807692307692307
415880,40019360,22,1,4,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40018917,172,1,26,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40017392,530,1,89,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40014219,3,1,1,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40013271,71,1,10,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40013173,9,1,2,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40012912,46,1,7,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40012820,9,1,2,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40012267,47,1,8,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40012260,38,1,6,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40011584,294,0,58,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40010634,2,1,1,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40010412,224,0,45,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40010293,436,1,79,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40009319,323,1,55,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40008580,3,1,1,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40008444,11,1,3,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40007504,24,1,6,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40003986,344,1,60,False,1,top,1,0,0,1.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.016666666666666666,0.0,0.0,0.9833333333333333
415880,40003572,94,0,16,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40003499,2749,0,482,False,1,top,1,1,0,0.5,0.5,0.0,0.2074688796680498,0.2074688796680498,0.0,0.002074688796680498,0.002074688796680498,0.0,0.995850622406639
415880,40001667,9,1,2,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40001559,29,0,5,False,1,top,0,1,0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,0.2,0.0,0.8
415880,39999434,13,1,2,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,39998361,41,1,8,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,39998142,1141,1,199,False,1,top,1,0,0,1.0,0.0,0.0,0.5025125628140703,0.0,0.0,0.005025125628140704,0.0,0.0,0.9949748743718593
415880,39996835,196,1,32,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,39995052,78,0,12,False,1,top,0,0,1,0.0,0.0,1.0,0.0,0.0,8.333333333333332,0.0,0.0,0.08333333333333333,0.9166666666666666
415880,39993495,226,0,41,False,1,top,1,0,0,1.0,0.0,0.0,2.4390243902439024,0.0,0.0,0.024390243902439025,0.0,0.0,0.975609756097561
