appid,reviewId,cluster_id,cluster_size
415880,33469440,2,24
415880,33497816,3,31
415880,33527390,5,10
415880,33530481,1,23
415880,33533025,8,30
415880,33533302,1,23
415880,33543818,2,24
415880,33545807,3,31
415880,33546522,2,24
415880,33547480,2,24
415880,33551174,1,23
415880,33563415,5,10
415880,33564155,9,7
415880,33565497,7,7
415880,33569154,1,23
415880,33574051,9,7
415880,33577001,9,7
415880,33578480,1,23
415880,33587581,4,2
415880,33590487,3,31
415880,33595152,3,31
415880,33595227,9,7
415880,33612177,2,24
415880,33616334,8,30
415880,33637280,11,2
415880,34248165,1,23
415880,34388617,8,30
415880,34469774,8,30
415880,37078673,8,30
415880,38171715,8,30
415880,39168386,8,30
415880,39943453,7,7
415880,39949555,3,31
415880,39959026,5,10
415880,39964624,3,31
415880,39964802,2,24
415880,39976062,1,23
415880,39985083,2,24
415880,39988884,0,1
415880,39990595,3,31
415880,39996835,2,24
415880,40001667,8,30
415880,40003572,2,24
415880,40011584,9,7
415880,40012260,8,30
415880,40019360,4,2
415880,40020231,1,23
415880,40020266,2,24
415880,40036375,6,11
415880,41595388,8,30
415880,42267073,3,31
415880,42294593,1,23
415880,42544882,2,24
415880,43053823,1,23
415880,43437029,6,11
415880,45010482,8,30
415880,45031658,2,24
415880,47083245,2,24
415880,48230025,9,7
415880,48232146,8,30
415880,48244057,2,24
415880,48248988,2,24
415880,48255584,1,23
415880,48255835,8,30
415880,48257894,3,31
415880,48258861,3,31
415880,48260259,8,30
415880,48265016,10,2
415880,48265106,8,30
415880,48274942,8,30
415880,48275811,3,31
415880,48278007,3,31
415880,48284803,1,23
415880,48285987,1,23
415880,48293515,3,31
415880,48295770,9,7
415880,48298368,3,31
415880,48309532,2,24
415880,48315016,8,30
415880,48321827,2,24
415880,48324126,2,24
415880,48337028,3,31
415880,48341347,7,7
415880,48451841,5,10
415880,48453356,1,23
415880,48513556,3,31
415880,49548400,6,11
415880,50223394,3,31
415880,50914110,1,23
415880,51599401,11,2
415880,52094657,5,10
415880,53844396,3,31
415880,57503817,2,24
415880,57868857,6,11
415880,59255715,10,2
415880,60961303,8,30
415880,63071138,2,24
415880,66412591,8,30
415880,70382495,6,11
415880,71373486,8,30
415880,83078010,3,31
415880,83117904,1,23
415880,83217049,8,30
415880,83553192,1,23
415880,86670705,3,31
415880,90755612,6,11
415880,107248583,6,11
415880,107634484,3,31
415880,108316004,1,23
415880,116987122,8,30
415880,119764195,3,31
415880,132108597,2,24
415880,141109313,8,30
415880,141437344,6,11
415880,176996237,6,11
435020,33690887,6,4
435020,33692571,3,7
435020,33693639,5,17
435020,33699161,7,2
435020,33699805,5,17
435020,33701386,1,35
435020,33709007,1,35
435020,33710059,6,4
435020,33713581,1,35
435020,33723600,1,35
435020,33733382,1,35
435020,33733405,9,13
435020,33739035,1,35
435020,33739888,5,17
435020,33740575,8,5
435020,33748918,9,13
435020,33760007,9,13
435020,33761063,8,5
435020,33763956,0,14
435020,33765468,1,35
435020,33781983,1,35
435020,33802335,8,5
435020,33823675,8,5
435020,33825419,9,13
435020,33833606,1,35
435020,33838566,1,35
435020,33851847,9,13
435020,33963310,1,35
435020,33981446,5,17
435020,34199565,0,14
435020,34209018,2,2
435020,34266931,9,13
435020,34570628,0,14
435020,34685052,7,2
435020,34792412,1,35
435020,34959535,0,14
435020,35217268,5,17
435020,35284606,1,35
435020,35298444,9,13
435020,35400512,1,35
435020,35541509,0,14
435020,35631885,0,14
435020,35793815,5,17
435020,36807610,1,35
435020,36819293,1,35
435020,36863094,1,35
435020,37863050,9,13
435020,37918464,1,35
435020,38972364,9,13
435020,39227290,4,2
435020,41140925,9,13
435020,41426215,3,7
435020,41654272,5,17
435020,41699724,1,35
435020,42010916,3,7
435020,42109300,3,7
435020,44477695,5,17
435020,44913196,1,35
435020,45178456,0,14
435020,45636487,1,35
435020,47417350,0,14
435020,47767053,0,14
435020,47819291,1,35
